,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM4667041,0.9996589422225952,GSE154217,GH directly inhibits steatosis and liver injury in a sex-dependent and IGF1-independent manner,,,"A reduction in hepatocyte growth hormone (GH)-signaling promotes non-alcoholic fatty liver disease (NAFLD). However, debate remains as to the relative contribution of the direct effects of GH on hepatocyte function vs indirect effects, via alterations in insulin-like growth factor 1 (IGF1). To isolate the role of hepatocyte GH receptor (GHR) signaling, independent of changes in IGF1, mice with adult-onset, hepatocyte-specific GHR knockdown (aHepGHRkd) were treated with a vector expressing rat IGF1 targeted specifically to hepatocytes. Compared to GHR-intact mice, aHepGHRkd reduced circulating IGF1 and elevated GH. In male aHepGHRkd, the shift in IGF1/GH did not alter plasma glucose or non-esterified fatty acids (NEFA), but was associated with increased insulin, enhanced systemic lipid oxidation and reduced white adipose tissue (WAT) mass. Livers of male aHepGHRkd exhibited steatosis associated with increased de novo lipogenesis, hepatocyte ballooning and inflammation. In female aHepGHRkd, hepatic GHR protein levels were not detectable, but moderate levels of IGF1 were maintained, with minimal alterations in systemic metabolism and no evidence of steatosis. Reconstitution of hepatocyte IGF1 in male aHepGHRkd lowered GH and normalized insulin, whole body lipid utilization and WAT mass. However, IGF1 reconstitution did not reduce steatosis or eliminate liver injury. RNAseq analysis showed IGF1 reconstitution did not impact aHepGHRkd-induced changes in liver gene expression, despite changes in systemic metabolism. These results demonstrate the impact of aHepGHRkd is sexually dimorphic and the steatosis and liver injury observed in male aHepGHRkd mice is autonomous of IGF1, suggesting GH acts directly on the adult hepatocyte to control NAFLD progression.","We analyzed total RNA from male and female livers (6 mice/sex) from GHR-intact controls mice and adult-onset, hepatocyte-specific GHR knockdown mice, without (aHepGHRkd) and with hepatic reconstitution of IGF1 (aHepGHRkd+2.0*1011 AAV8-TBGp-rIGF1).",33112796,,,394519,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/07/11,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154217/,GH directly inhibits steatosis and liver injury in a sex-dependent and IGF1-independent manner.,The Journal of endocrinology,2021 Jan,10.1530/JOE-20-0326,Ground Control
1,GSM6042857,0.999651312828064,GSE200731,RNA-seq of liver of mice exposed to varying food availability,,,RNA-seq of liver of mice exposed to varying food availability,Match and mismatch conditions of high (ad libitum) and low (90% of ad libitum intake) food availability from adolescence to early adulthood in female C57BL/6J mice,35859757,,,631914,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/06/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200731/,The Impact of Varying Food Availability on Gene Expression in the Liver: Testing the Match-Mismatch Hypothesis.,Frontiers in nutrition,2022,10.3389/fnut.2022.910762,Ground Control
2,GSM2441022,0.9996433854103088,GSE93137,Bazedoxifene and conjugated estrogen combination improves gut-liver axis health,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,29267318,,,93615,GPL13112; GPL21051,Mus musculus; mouse gut metagenome,GSE,Other; Expression profiling by high throughput sequencing,2018/02/15,83,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93137/,Bazedoxifene and conjugated estrogen combination maintains metabolic homeostasis and benefits liver health.,PloS one,2017,10.1371/journal.pone.0189911,Ground Control
3,GSM6672187,0.999641478061676,GSE216416,Sexual Dimorphism of Circadian Liver Transcriptome,,,"Purpose: To conduct a transcriptomic study of gene oscillations in mouse liver by RNA sequencing of total RNA samples from 6 different time points across the day. Specific interest is to see whether sex is a factor in large scale gene oscillations under ad-libitum control conditions and in response to caloric restriction diet, since caloric restriction was previously reported to affect gene oscillation Methods: Total RNA was isolated from 20 mg mouse liver tissue using mini spin column QIAGEN RNeasy Mini Kit (Ref #74104, Lot#163035346, Hilden, Germany) according to the manufacturer’s protocol. Sample purity was checked on Nano Drop 2000 (Thermo Fisher Scientific, Waltham, MA, USA) with 260/280 ratio ≥ 2.0 and 260/230 ratio  ≥ 2.0  for every sample. Each sample used for the analysis had RNA integrity number > 7. The RNA sequencing was performed by Novogene Corporation Inc (Sacramento, CA, USA). After sample quality control, non-directional – polyA enrichment library was prepared using NEBNext Ultra™ II RNA Library Prep Kit for Illumina, and 50M reads (150bp, paired end) per sample were generated on Illumina NovaSeq 6000 platform. RNA-seq reads were mapped to the mouse protein coding genes (Ensembl: Mus_musculus; GRCm38) using Bowtie allowing up to 2-mismatches. The gene expected read counts and Transcripts Per Million (TPM) were estimated by RSEM (v1.2.3). The TPMs were further normalized by EBSeq R package to correct potential batch effect. Results: We have performed RNA sequencing analysis of mouse livers on Ad-libitum and timed Caloric Restriction diet across 6 time points in 24h. The results of subsequent compareRhythms analysis (R package) revealed that circadian rhythms in total RNA liver transcriptome are different between sexes of mice in both the number of oscillating genes and phase under ad-libitum diet. Caloric restriction increased the number of oscillating genes in both sexes and resulted in a larger overlap of rhythmic transcriptome between sexes, but did not eliminate the difference completely. The response of transcriptome to caloric restriction in terms of gain or loss of rhythm in gene expression profiles was also different between sexes. Additionally, we have shown that the lack of data stratification by sex might result in the failure to detect rhythmic changes in expression of some genes. Conclusions: Our study represents the first systematic analysis of the effect of sex on circadian rhythms of liver transcriptome under ad libitum and caloric restriction diets. We have shown that sex based differences exist in rhythmic transcriptome, as well as in the response of rhythmic transcriptome to diet. We are providing the data useful for both circadian and metabolic researchers and point out the gene candidates which may not be identified as rhythmic, if the data is not stratified by sex. With the help of GO analysis we have concluded that sex also influences the preference towards different processes to be regulated in rhythmic manner on transcriptional level - fatty acid metabolism and protein transport in males vs nucleic acid metabolism and RNA processing in females on ad-libitum diet. On calorie-restricted diet nucleic acid metabolism and RNA processing were enriched in males vs protein transport and signal transduction in females on calorie-restricted diet. These findings highlight a complex interaction of sex and diet in their effect on circadian rhythms in liver gene expression. All of the data from sequenced RNA samples from MALE liver were previously uploaded with the GSE211975 dataset. The current dataset only contains RNA-seq samples from FEMALE liver.",Liver mRNA profiles of 5 mo old mice on ad-libitum and 30% caloric-restriction diets across 6 time points in 24 hours,38550984,,,696724,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/01,35,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216416/,Sexual dimorphism of circadian liver transcriptome.,iScience,2024 Apr 19,10.1016/j.isci.2024.109483,Ground Control
4,GSM7065646,0.9996321797370911,GSE226139,Malonylation of Acetyl-CoA Carboxylase 1 Promotes Hepatic Steatosis and Is Attenuated by Ketogenic Diet in NAFLD,,,"Protein post-translational modifications (PTMs) participate in important bioactive regulatory processes and therefore can help elucidate the pathogenesis of non-alcoholic fatty liver disease (NAFLD). Here, we investigate the involvement of PTMs in ketogenic diet (KD)-improved fatty liver by multi-omics and reveal a core target of lysine malonylation, acetyl-CoA carboxylase 1 (ACC1). ACC1 protein levels and Lys1523 malonylation are significantly decreased by KD. It is discovered that a malonylation-mimic mutant in ACC1 increases its enzyme activity and stability to promote hepatic steatosis, whereas the malonylation-null mutant upregulates the ubiquitination degradation of ACC1. A customized Lys1523ACC1 malonylation antibody confirms the increased malonylation of ACC1 in the NAFLD samples. Overall, the lysine malonylation of ACC1 is attenuated by KD in NAFLD and plays an important role in promoting hepatic steatosis. Malonylation is critical for ACC1 activity and stability, highlighting the anti-malonylation effect of ACC1 as a potential strategy for treating NAFLD.","Mouse models and dietary intervention Seven-week-old male C57BL/6 mice were purchased from GemPharmatech (Nanjing, China). After an acclimation period of one week, the mice were randomly divided into CD, HFD, iCD, and iKD groups (n = 6/group). Mice were fed a CD (11 % fat [kcal%]; Guangdong Medical Laboratory Animal Center, Guangzhou, China) in the CD group or a HFD (58 % fat [kcal%]; D12331; Research Diets, New Brunswick, NJ, USA) in the HFD group for 16 weeks. Mice in the iCD group were fed a HFD or CD sequentially at 2-week intervals for 16 weeks. Mice in the iKD group were fed a HFD or KD (90.5 % fat [kcal%], TD.160153, Envigo, USA) at 2-week intervals for 16 weeks. Blood and liver samples were collected after an overnight fast. Animal experiments complied with the ARRIVE guidelines and the National Institutes of Health Guide for the Care and Use of Laboratory Animals. All protocols were approved by the Institutional Animal Care and Use Committee of the Sun Yat-sen University (approval number: 2020000276). RNA sequencing Total RNA was isolated using a RNeasy Plus Mini kit (QIAGEN, Hilden, Germany) according to the manufacturer’s instructions. The integrity and concentration of the total RNA were assessed using an Agilent 2100 Bioanalyzer System (Agilent Technologies, Palo Alto, CA, USA) and an Agilent RNA 6000 Nano Kit (Agilent Technologies). Samples with an RNA integrity number >8 were selected for use. RNA sequencing (RNA-Seq) and data analysis were performed by Pan-Guarantee Biotechnology Co. Ltd. (Guangzhou, China). Libraries were constructed using 1 μg of total RNA and prepared using the NEBNext ultra RNA Library Prep Kit (New England Biolabs, Beijing, China). Sequencing was performed using an Illumina HiSeq4000 to generate 150 bp paired-end reads. Quality trimmed reads were mapped onto the mouse genome (mm10) by HISAT233, and gene expression in terms of fragments per kilobase of transcript per million (FPKM) mapped reads of genes overlapping with gene annotations in Ensembl release 96 was calculated using RSEM (v1.1.17) 34. RNAs differential expression analysis was performed using edgeR (v 3.14.0)35 software between two different groups (n= 4). Genes with a false discovery rate < 0.05 and absolute fold change≥ 2 were considered differentially expressed genes.",37002924,,,737845,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/05,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE226nnn/GSE226139/,Malonylation of Acetyl-CoA carboxylase 1 promotes hepatic steatosis and is attenuated by ketogenic diet in NAFLD.,Cell reports,2023 Apr 25,10.1016/j.celrep.2023.112319,Ground Control
5,GSM1120572,0.9996269345283508,GSE45684,RNA-seq alignment to individualized genomes,,,"The source of most errors in RNA sequencing (RNA-seq) read alignment is in the repetitive structure of the genome and not with the alignment algorithm. Genetic variation away from the reference sequence exacerbates this problem causing reads to be assigned to the wrong location. We developed a method, implemented as the software package Seqnature, to construct the imputed genomes of individuals (individualized genomes) of experimental model organisms including inbred mouse strains and genetically unique outbred animals. Alignment to individualized genomes increases read mapping accuracy and improves transcript abundance estimates. In an application to expression QTL mapping, this approach corrected erroneous linkages and unmasked thousands of hidden associations. Individualized genomes accounting for genetic variation will be useful for human short-read sequencing and other sequencing applications including ChIP-seq.","Illumina 100bp single-end liver RNA-seq from 277 male and female Diversity Outbred 26-week old mice raised on standard chow or high fat diet. In addition, Illumina 100bp single-end liver RNA-seq from 128 male 26-week old male mice (20 weeks for NZO strain) from each of the DO founder strains raised on standard chow or high fat diet (8 males per strain by diet group). Each sample was sequenced in 2-4x technical replicates across multiple flowcells. Samples were randomly assigned lanes and multiplexed at 12-24x.",25236449;26614740;28592500,,,11831,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2014/06/10,1086,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45684/,RNA-Seq alignment to individualized genomes improves transcript abundance estimates in multiparent populations.,Genetics,2014 Sep,10.1534/genetics.114.165886,Ground Control
6,GSM4471972,0.9996227622032166,GSE148460,Role of human CYP2B6 in vivo in diet-induced obesity,,,"To investigate the role of human CYP2B6 in vivo under high-fat diet conditions, we compared our  previously developed Cyp2b triple knockout mouse lacking Cyp2b9, Cyp2b10, and Cyp2b13 (via CRISPER/Cas9; Cyp2b-null), to our newly developed humanized-CYP2B6-transgenic (hCYP2B6-Tg) mouse model (on a Cyp2b-null background). hCYP2B6-Tg and Cyp2b-null mice were fed a high-fat diet consisting of 60% fat for 16 weeks. RNA was extracted from the livers of female and male mice from both treatment groups and used for RNA seqencing. RNAseq and in gene ontology (GO) analysis indicate human CYP2B6 is important in protein processing and phosphorylation, hepatic circadian regulation, and lipid metabolism under HFD conditions.Circadian rhythm-associated genes were up-regulated in HFD-fed hCYP2B6-Tg mice compared to Cyp2b-null mice. Circadian regulation plays an important role in liver metabolism and metabolic disease. In addition, female hCYP2B6-Tg mice had several down-regulated genes involved in lipid metabolism compared to Cyp2b-null mice, notably Angptl8 (logFC = -1.24), a critical modulator of lipid metabolism that has been associated with metabolic disease. Genes identified by RNAseq analysis may contribute to the overall healthier metabolic profile of HFD-fed humanized mice compared to Cyp2b-null mice.","Use RNA-sequencing to investigate the role of human CYP2B6 in diet-induced obesity on a transcriptomic level, by comparing the livers of Cyp2b-null and hCYP2B6-Tg mice fed a high-fat diet for 16 weeks using Illumina technology.",,,,357118,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/06/01,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148460/,,,,,Ground Control
7,GSM5231289,0.9996198415756226,GSE171716,Sex-specific phenotypic effects and evolutionary history of an ancient polymorphic deletion of the human growth hormone receptor,,,"The deletion of the third exon of the growth hormone receptor (GHR) is one of the most common genomic structural variants in the human genome. This deletion (GHRd3) has been linked to response to growth hormone, placenta size, birth weight, growth after birth, time of puberty, adult height, and longevity. However, its evolutionary history and the molecular mechanisms through which it affects phenotypes remain unresolved. Here, we analyzed thousands of genomes and provide evidence that this deletion was nearly fixed in the ancestral population of anatomically modern humans and Neanderthals. However, it underwent a paradoxical adaptive reduction in frequency approximately 30 thousand years ago in East Asia that roughly corresponds with the emergence of archaeological evidence for multiple modern human behaviors, dramatic changes in climate, and a concurrent population expansion. Further, we provide evidence that GHRd3 is associated with protection from edematous severe acute malnutrition primarily in males. Using a mouse line engineered to contain the deletion, we found Ghrd3's effect on the liver transcriptome of male mice grown without any calorie restriction mimics response to calorie restriction through regulation of circadian pathways. In contrast, under calorie restriction, Ghrd3 leads to the female-like gene expression in male livers. As a likely consequence, the dramatic weight difference between male and female mice disappears among GHRd3 mice under calorie restriction. Our data provide evidence for sex- and environment-dependent effects of GHRd3 and are consistent with a model in which the allele frequency of GHRd3 varies throughout human evolution as a response to fluctuations in resource availability.","Liver RNAseq of 8 cohorts mice (each n=5) based on all possible combinations of sex (female or male), diet (constantly available, i.e., ad libitum (AL) or 40% calorie restricted (CR)), and genotype (wt/wt or d3/d3) under controlled settings. We raised all of the cohorts under identical conditions until weaning at 30 days old and provided the differential diets for the next 30 days.",34559564,,,491457,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/04/30,40,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171716/,Sex-specific phenotypic effects and evolutionary history of an ancient polymorphic deletion of the human growth hormone receptor.,Science advances,2021 Sep 24,10.1126/sciadv.abi4476,Ground Control
8,GSM1400585,0.9996181726455688,GSE58089,Altering the intestinal microbiota during a critical developmental window has lasting metabolic consequences [RNA-Seq],,,"Acquisition of the intestinal microbiota begins at birth, and a stable microbial community develops from a succession of key organisms. Disruption of the microbiota during maturation by low-dose antibiotic exposure can alter host metabolism and adiposity. We now show that low-dose penicillin (LDP), delivered from birth, induces metabolic alterations and affects ileal expression of genes involved in immunity. LDP that is limited to early life transiently perturbs the microbiota, which is sufficient to induce sustained effects on body composition, indicating that microbiota interactions in infancy may be critical determinants of long-term host metabolic effects. In addition, LDP enhances the effect of high-fat diet induced obesity. The growth promotion phenotype is transferrable to germ-free hosts by LDP-selected microbiota, showing that the altered microbiota, not antibiotics per se, play a causal role. These studies characterize important variables in early-life microbe-host metabolic interaction and identify several taxa consistently linked with metabolic alterations.","Male and female mice were exposed to low-dose penicillin from birth. In a second experiment, microbiota from female control and LDP mice was transferred to 3-week old female germ-free mice.  Livers were collected at 8 weeks of age, RNA was extracted, and transcriptional differences were measured by RNAseq.",25126780,,,16041,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2014/09/01,18,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58089/,Altering the intestinal microbiota during a critical developmental window has lasting metabolic consequences.,Cell,2014 Aug 14,10.1016/j.cell.2014.05.052,Ground Control
9,GSM6321516,0.999615490436554,GSE207865,RNA sequencing of liver and kidney tissues from mice treated with rapamycin during development,,,"RNA sequencing of mouse liver and kidney. UMHET pups were treated with diet containing encapsulated rapamycin or encapsulating material as a control from birth to 45 days of age, and tissues were collected at 2, 20-22 and 27-29 months of age from both males and females, and 3-5 samples per age, sex and treatment were sequenced.",Comparative gene expression profiling analysis of RNA-seq data for mice treated with rapamycin or control diet during postnatal development.,36112674,,,656838,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/07/13,97,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207865/,Rapamycin treatment during development extends life span and health span of male mice and Daphnia magna.,Science advances,2022 Sep 16,10.1126/sciadv.abo5482,Ground Control
