,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM5829345,0.9991337060928345,GSE194145,Metabolic subgroups of Diversity Outbred mice show distinct phenotypic and transcriptomic signatures of obesity and insulin resistance,,,"Clinicians and researchers are turning towards precision medicine to treat and prevent obesity and diabetes, given the known contributions of genetics to these metabolic diseases and the wide variability reported in response to treatments. Animal models that incorporate the genetic diversity present in the human population may help discover novel genetic contributors to metabolic disease and test potential treatments. We characterized the Diversity Outbred (DO) mouse population as a model in which to study interindividual variability in metabolic disease and investigated the presence of metabolic subgroups within the population. Glucose metabolism was assessed in male Diversity Outbred (DO) mice after consumption of a high-fat diet for 14 weeks and profiled transcriptomic changes in liver, adipose, and muscle—key tissues involved in glucose homeostasis. To identify metabolic subgroups, we applied classification and regression tree analyses to metabolic phenotype measures as well as transcriptomic data. These findings suggest that DO mice exhibit a diversity of metabolic phenotypes that can be segmented into subgroups using a machine learning approach. The metabolic subgroups observed in the DO may be a useful for probing the phenotypic variability in metabolic disease observed in humans.","Male DO mice received either control or high-fat diet (HFD) for 14 weeks. At study start animals were randomized and half of the mice (N=75) were placed on the High Fat diet (60 kcal %, D12492/D12492N; Research Diets, New Brunswick, NJ)  while the other half (N=75) continued receiving control diet ad libitum. Animals were examined for morbidity and clinical observation twice daily on weekdays and once daily on weekends and holidays. Body weight was measured prior to blood collection on week 1 and then weekly for the remainder of the study. Feed consumption was monitored weekly. During Week 1, 5, 9, and 14, mice were fasted for a period of 4-5 hours and resting-state glucose levels were measured. After 12 weeks, an oral glucose tolerance test was also conducted after mice were fasted overnight (approximately 16-18 hours). Serum insulin and leptin content as well as routine clinical chemistry were also measured. After 14 weeks animals were necropsied and tissues collected. Samples of liver, muscle, and adipose (abdominal) tissue were frozen in liquid nitrogen and stored at or below -70 degrees C. Total RNA was extracted from small sub-samples of these three tissues and gene expression was measured to investigate potential molecular changes driving variability among mice to allow subgroupings. Metabolic subgroups were identified using a machine-learning algorithm.",,,,593508,GPL16417,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/30,446,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194145/,,,,,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
1,GSM8250863,0.9990738034248352,GSE266567,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [skeletal muscle]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,857057,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,474,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266567/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
2,GSM8249947,0.9990738034248352,GSE266549,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [Adipose]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,856586,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,468,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266549/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
3,GSM8250916,0.9990176558494568,GSE266567,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [skeletal muscle]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,857109,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,474,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266567/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
4,GSM8250001,0.9990176558494568,GSE266549,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [Adipose]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,856640,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,468,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266549/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
5,GSM8250046,0.99898362159729,GSE266549,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [Adipose]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,856685,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,468,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266549/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
6,GSM8250960,0.9989804029464722,GSE266567,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [skeletal muscle]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,857153,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,474,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266567/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
7,GSM8250955,0.998958945274353,GSE266567,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [skeletal muscle]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,857148,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,474,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266567/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
8,GSM8250040,0.9989569783210754,GSE266549,"Transcriptome profiling of non-islet metabolic tissues in ~500 DO mouse liver, adipose, and skeletal muscle tissue from mice fed high-fat, high-sugar diet. [Adipose]",,,"Perform RNAseq with existing frozen mouse DO tissues from ~500 DO mice were sensitized on a HFHS diet (Keller, Gatti et al. 2018). The same mice have been extensively characterized for T2D-relevant clinical phenotypes, ex-vivo islet function, and other features including microbiome profiling.  Gene expression and proteomic profiling has already been completed in islets. We will collect and analyze the genetic architecture of gene expression in liver, adipose, skeletal muscle. Tissues will be sent to JAX Bar Harbor from Alan Attie’s lab. These tissues were from the same mice used for transcriptome analysis of islets (Genetics May 1, 2018 vol. 209 no. 1 335-356)",transcription profiling by high-throughput sequencing design,39386475;40595617,,,856679,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/10,468,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266549/,Transcripts with high distal heritability mediate genetic effects on complex metabolic traits.,bioRxiv : the preprint server for biology,2024 Sep 27,10.1101/2024.09.26.613931,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
9,GSM5829472,0.998943567276001,GSE194145,Metabolic subgroups of Diversity Outbred mice show distinct phenotypic and transcriptomic signatures of obesity and insulin resistance,,,"Clinicians and researchers are turning towards precision medicine to treat and prevent obesity and diabetes, given the known contributions of genetics to these metabolic diseases and the wide variability reported in response to treatments. Animal models that incorporate the genetic diversity present in the human population may help discover novel genetic contributors to metabolic disease and test potential treatments. We characterized the Diversity Outbred (DO) mouse population as a model in which to study interindividual variability in metabolic disease and investigated the presence of metabolic subgroups within the population. Glucose metabolism was assessed in male Diversity Outbred (DO) mice after consumption of a high-fat diet for 14 weeks and profiled transcriptomic changes in liver, adipose, and muscle—key tissues involved in glucose homeostasis. To identify metabolic subgroups, we applied classification and regression tree analyses to metabolic phenotype measures as well as transcriptomic data. These findings suggest that DO mice exhibit a diversity of metabolic phenotypes that can be segmented into subgroups using a machine learning approach. The metabolic subgroups observed in the DO may be a useful for probing the phenotypic variability in metabolic disease observed in humans.","Male DO mice received either control or high-fat diet (HFD) for 14 weeks. At study start animals were randomized and half of the mice (N=75) were placed on the High Fat diet (60 kcal %, D12492/D12492N; Research Diets, New Brunswick, NJ)  while the other half (N=75) continued receiving control diet ad libitum. Animals were examined for morbidity and clinical observation twice daily on weekdays and once daily on weekends and holidays. Body weight was measured prior to blood collection on week 1 and then weekly for the remainder of the study. Feed consumption was monitored weekly. During Week 1, 5, 9, and 14, mice were fasted for a period of 4-5 hours and resting-state glucose levels were measured. After 12 weeks, an oral glucose tolerance test was also conducted after mice were fasted overnight (approximately 16-18 hours). Serum insulin and leptin content as well as routine clinical chemistry were also measured. After 14 weeks animals were necropsied and tissues collected. Samples of liver, muscle, and adipose (abdominal) tissue were frozen in liquid nitrogen and stored at or below -70 degrees C. Total RNA was extracted from small sub-samples of these three tissues and gene expression was measured to investigate potential molecular changes driving variability among mice to allow subgroupings. Metabolic subgroups were identified using a machine-learning algorithm.",,,,593630,GPL16417,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/30,446,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194145/,,,,,OSD-101|Mmus_C57-6J_GST_GC_Rep1_M33,Ground Control
